varma_l1,9.67947090938407E+00,8.5333567683099E+00,8.1293671938016E+00,8.90359347008175E+00,7.29450429916618E+00,7.66489317758363E+00,1.25868791644559E+01,9.91225961674457E+00,7.75050654589449E+00,9.00076061631095E+00,7.89169637818625E+00,8.06943968042689E+00,8.39407727435704E+00,8.08744074403642E+00,6.18120124100353E+00,8.78448955469675E+00,9.4458758816295E+00,9.25151662455278E+00,7.73943410155377E+00,7.23202012262946E+00,1.08743962587111E+01,1.23931328872187E+01,8.31916394256651E+00,7.93507859418412E+00,9.66314214648861E+00,1.20555668637989E+01,1.34116597950224E+01,1.41092323995171E+01,3.92884811550711E+01,2.41094426152824E+01,2.15274039166692E+01,1.4154027292131E+01,1.29629792468214E+01,1.09161451187951E+01,1.59740801648596E+01,9.62589456550039E+00,1.01110624561312E+01,1.10163509811998E+01,1.11816513320318E+01,1.09912469578835E+01,9.15749581438468E+00,8.30475818448834E+00,6.87433081856757E+00,6.57117485442197E+00,8.1268862253418E+00,9.68013669754692E+00,8.91640383480499E+00,9.47695062655113E+00,5.77736206040577E+00,7.54109753410097E+00,6.57246899658216E+00,5.87666906089769E+00,8.40259739185352E+00,8.91283925508505E+00,1.30608093400701E+01,7.86780173930846E+00,7.56091587591636E+00,7.87832927592247E+00,1.22000158953024E+01,6.84070871834319E+00,6.57266881076546E+00,7.01913655839609E+00,7.72732434436089E+00,6.25272236935588E+00,1.44455110175386E+01,1.55121051322423E+01,5.40380329969822E+00,7.51594094929712E+00,9.18914944952375E+00,8.85082391092381E+00,8.76252625506837E+00,7.78643323229802E+00
varma_Hlag,9.5742723537921E+00,8.57151608096717E+00,8.06470493583324E+00,8.88871632112507E+00,7.20573143738385E+00,7.68093833006944E+00,1.2617235631465E+01,9.92520229487774E+00,7.79278989828643E+00,8.99014759864785E+00,7.82712210500293E+00,8.20521426640735E+00,8.51325954316842E+00,8.27894957024457E+00,6.28428522742134E+00,8.88034073152994E+00,9.6043152706841E+00,9.43169966114495E+00,7.88819630720093E+00,7.39879572835867E+00,1.09387629575433E+01,1.26720092738316E+01,8.34483740987099E+00,7.80877409422423E+00,9.76664166876965E+00,1.14486284035496E+01,1.33262024294823E+01,1.41769490982364E+01,3.92884811550711E+01,2.41094426152824E+01,2.15274039166692E+01,1.4154027292131E+01,1.29629792468214E+01,1.09161451187951E+01,1.59740801648596E+01,9.62589456550039E+00,1.01110624561312E+01,1.10163509811998E+01,1.11816513320318E+01,1.09912469578835E+01,9.15749581438468E+00,8.30475818448834E+00,6.87433081856757E+00,6.57117485442197E+00,8.1268862253418E+00,9.68013669754692E+00,8.91640383480499E+00,9.47695062655113E+00,5.77736206040577E+00,7.53763485285129E+00,6.13895117384991E+00,5.39692062688099E+00,8.15046894142523E+00,8.69775708127633E+00,1.31433154405903E+01,7.68802449243754E+00,7.95326490841513E+00,7.99026162644181E+00,1.29319357583473E+01,6.89117249903632E+00,6.93490446167923E+00,6.93731866973688E+00,7.69739732963661E+00,6.21433548795949E+00,1.39007555910414E+01,1.53739360717131E+01,5.01147099102323E+00,7.23693217233742E+00,8.95387300529115E+00,8.60302461685491E+00,8.32150493237377E+00,7.29273616685178E+00
var1,1.99113367405702E+01,1.70876929825815E+01,1.71854714921808E+01,1.42544958332594E+01,2.02082898596219E+01,1.05881828001853E+01,2.02422707447074E+01,1.72307478506775E+01,1.69512155584205E+01,1.9988531565449E+01,1.24272229133079E+01,1.25836408250337E+01,1.75648395351448E+01,1.64787960663608E+01,1.15591158871636E+01,1.40383776712711E+01,2.48920141600539E+01,1.55129497643689E+01,1.0693553571645E+01,1.07693114268853E+01,1.93843376187445E+01,1.93788574751369E+01,1.24975503693968E+01,1.19937247558738E+01,1.16779704480819E+01,4.95080366159854E+01,6.89763150531369E+01,2.71168492628689E+01,5.91132397257477E+01,6.21561292170703E+01,2.57972210600257E+01,2.49251471465283E+01,1.53371020198781E+01,2.27738025764719E+01,3.05425830772931E+01,1.82291288045E+01,1.86840761641289E+01,2.01494807276923E+01,1.70882496525759E+01,1.67717937372068E+01,1.34908242219325E+01,1.14577679792475E+01,1.13742164800047E+01,1.11024209408481E+01,1.12350254944858E+01,1.85090564765806E+01,1.35636453631658E+01,1.25624455713381E+01,9.6945255618763E+00,1.08944856931242E+01,7.25636278829695E+00,8.62567988855107E+00,1.03232673713509E+01,1.05268436115901E+01,2.33843659570983E+01,9.10858365747793E+00,9.61036861624001E+00,1.15050253299106E+01,1.96671756662341E+01,1.05570833439855E+01,1.05930154558926E+01,1.2538934550437E+01,1.24648931908039E+01,1.07998462817919E+01,2.10180023650575E+01,2.65434104835872E+01,7.19909288608977E+00,1.11838047560287E+01,1.23369026939397E+01,1.37719337614386E+01,1.1706201232275E+01,1.13162294137352E+01
var2,2.58143674258945E+01,3.0551194530244E+01,2.98915907292947E+01,2.06366825149647E+01,2.4513861545657E+01,2.7624035651708E+01,3.08208445777988E+01,4.02623615351199E+01,2.94935054468542E+01,3.19138248188964E+01,2.79814505780752E+01,3.46032470492826E+01,2.75986310920863E+01,2.37145580101358E+01,2.72981150398358E+01,2.78206869821623E+01,3.16962596353663E+01,5.10078024186865E+01,5.05998867832129E+01,2.99878729183237E+01,3.0270095902983E+01,3.09537926170694E+01,4.13645555690074E+01,2.75436095129596E+01,2.64533220054794E+01,9.32950570732068E+01,1.87766235325236E+02,2.9559143440386E+02,1.75377439388444E+02,1.89650745457965E+02,1.30087265410445E+02,5.27041982710113E+01,8.10412523751722E+01,7.96283283401507E+01,1.13793000365372E+02,1.14698225932532E+02,6.20391483646904E+01,6.8747520556809E+01,7.58780294465329E+01,5.37955139570339E+01,4.67398210500949E+01,5.41197303777244E+01,5.51453114728452E+01,6.22896519849338E+01,4.64637921198149E+01,1.35537903886928E+02,7.3701832275433E+01,8.70242660030777E+01,3.34799156055221E+01,6.44919021927874E+01,4.754750483575E+01,1.57957715691669E+02,3.68023415776716E+01,4.60049957510328E+01,1.39660376385882E+02,1.27935959859219E+02,1.04133409844999E+02,1.1298659989296E+02,2.93868533575069E+02,8.70480735276865E+01,5.68439748424197E+01,4.23724695319356E+01,2.65812459740542E+01,2.73392414433463E+01,1.77793672347206E+02,7.08657115746676E+01,3.54727487112306E+01,3.76065429083777E+01,3.33844775613207E+01,3.40252835130712E+01,1.13474066765469E+02,2.94722282214606E+01
var_l1,9.71243027952822E+00,8.64096890689073E+00,8.10975242305954E+00,9.04654527148922E+00,7.32475736793964E+00,7.77555287411684E+00,1.28329127292762E+01,9.99845898080248E+00,7.97637715519033E+00,9.11200845953839E+00,7.97038337719078E+00,8.14936706872233E+00,8.51195493673495E+00,8.09285664883502E+00,6.41578889091159E+00,8.96510995022211E+00,9.46854084360204E+00,9.28654045596807E+00,7.88445052129977E+00,7.23484479673011E+00,1.10307037220426E+01,1.24145102156685E+01,8.42354464486827E+00,8.17197718166207E+00,9.72262092959781E+00,1.2658320284636E+01,1.36035468810163E+01,1.41590929916709E+01,3.92748514068866E+01,2.40853693963344E+01,2.14845011204347E+01,1.40959082118666E+01,1.2891267335889E+01,1.08467697561867E+01,1.5962699330365E+01,9.57590515562627E+00,1.00752101112291E+01,1.09895611954091E+01,1.11243099346056E+01,1.09397157432422E+01,9.1210741300846E+00,8.25320805499113E+00,6.82980609572799E+00,6.53342978185702E+00,8.07555915921441E+00,9.67463256633318E+00,8.88006069995574E+00,9.46267190593638E+00,5.76680700559721E+00,7.81377747093272E+00,6.57430570932674E+00,5.85769833819931E+00,8.30302892198714E+00,8.91830304333993E+00,1.30631626502734E+01,7.61178557266218E+00,7.52804412584001E+00,7.8563582294276E+00,1.21776582493E+01,6.7949068691577E+00,6.73610738071535E+00,7.00963901663346E+00,7.7313091371888E+00,6.22310672308021E+00,1.4455395526904E+01,1.55249887730357E+01,5.3758157335497E+00,7.51063594053999E+00,9.18200399713217E+00,8.85533866925497E+00,8.77759878816443E+00,7.79466893438531E+00
factoraug,9.19294573528447E+00,9.39884617294947E+00,8.8748850294651E+00,8.8213258771016E+00,6.80083050443551E+00,8.27967694067903E+00,1.44194334705452E+01,1.20365243573793E+01,8.15514486638213E+00,9.69358839340309E+00,7.28280096060298E+00,7.96054422717759E+00,9.19580025721561E+00,9.27578251154616E+00,6.26558206755395E+00,1.01263025632639E+01,1.15768706432245E+01,1.03548368362815E+01,8.23594095313471E+00,7.75990804119984E+00,1.28891485132809E+01,1.52919645426382E+01,8.91973161375355E+00,8.72699594219139E+00,1.00913424491739E+01,1.06129635862142E+01,4.19421343317618E+01,1.64194120664834E+01,4.06395469126555E+01,3.12423876772448E+01,2.28515077449746E+01,1.19632268553841E+01,1.09920019198247E+01,9.87934251308983E+00,9.28948793348957E+00,8.0372275896674E+00,9.29697291038731E+00,9.17102988591634E+00,1.13202536971667E+01,9.71874505234481E+00,7.97976273889372E+00,8.00728589250151E+00,6.74231250638545E+00,6.13993501022706E+00,8.22578865994732E+00,8.23209091726243E+00,8.6262396719081E+00,9.34405792735337E+00,4.7381696366291E+00,7.3175041811716E+00,5.97943247262753E+00,5.23810590141872E+00,7.97514467284482E+00,8.2242672827592E+00,1.5857752414399E+01,8.12801447330923E+00,8.30130448101638E+00,8.12510262667518E+00,1.36476912997683E+01,7.92676753665536E+00,7.23185141967861E+00,8.07559160496012E+00,8.64315251798874E+00,6.58627320066937E+00,1.33355399523605E+01,1.99255678804759E+01,5.23514464385275E+00,9.27683164364305E+00,9.43651281492061E+00,8.89178829225738E+00,9.65869939120923E+00,7.73124408434636E+00
ours,9.65632940448093E+00,8.9195036896015E+00,8.34847672371122E+00,9.51145832471408E+00,7.86932786747734E+00,8.23312021159452E+00,1.33867236511127E+01,1.00129159641438E+01,8.41777198443519E+00,9.0612318095427E+00,8.36682040745786E+00,8.33232300359733E+00,8.16210656605544E+00,8.1513941879282E+00,6.21433216297372E+00,8.05850863469052E+00,9.4410126216612E+00,9.5061841350907E+00,7.45938111334774E+00,7.3860062819166E+00,1.13828904595824E+01,1.21525016581699E+01,8.44691531050012E+00,8.12308120787963E+00,1.01631039942008E+01,1.22446840101323E+01,1.33447639376758E+01,1.31112917846931E+01,3.59032376907773E+01,2.35174400168782E+01,2.11936351886332E+01,1.37977338404133E+01,1.16848192990705E+01,9.98118312730691E+00,1.5964492931886E+01,9.30654348123578E+00,9.95186976037666E+00,1.09207293372977E+01,1.04423998218018E+01,9.73902230894259E+00,8.72978385161834E+00,8.16874291456625E+00,6.35630181312833E+00,6.40881360445487E+00,7.99862221225518E+00,9.68008237023425E+00,8.75519806316663E+00,9.20159931917426E+00,5.6725916330679E+00,7.76971566044842E+00,6.5904510693679E+00,5.87218468144869E+00,8.48118530597432E+00,9.03244661341037E+00,1.29540261737596E+01,8.04675073101735E+00,7.83837635625645E+00,8.2858060765506E+00,1.26185402011197E+01,7.47359486231223E+00,6.80627430677064E+00,7.19351379396262E+00,8.69445496922764E+00,6.45605506640773E+00,1.43984349467501E+01,1.55108181822154E+01,5.32566211622508E+00,7.42681006547423E+00,9.09798328418584E+00,8.86494310288195E+00,8.5987948783008E+00,7.70156180995451E+00
ar1,9.01826613848251E+00,9.21922301242273E+00,8.74210645399769E+00,8.33343164103831E+00,6.59610077787417E+00,8.07313499436396E+00,1.44327160169632E+01,1.16594444039521E+01,8.13485871851995E+00,9.42541163151565E+00,7.15549717928675E+00,7.89383719124995E+00,9.00022837212356E+00,9.0620480970506E+00,6.11043245887027E+00,9.84938778431276E+00,1.12464072019428E+01,1.05244656447214E+01,8.31306585901091E+00,7.71430254937463E+00,1.28442119041925E+01,1.53553182389605E+01,8.66974245323001E+00,8.54380303049718E+00,1.02139410916501E+01,1.04056622534747E+01,4.19152513951551E+01,1.64024237312706E+01,4.22774264189068E+01,3.04550488882185E+01,2.26728708721898E+01,1.17997699445505E+01,1.08342166195195E+01,1.00338425227706E+01,9.11730939771707E+00,7.85641342033183E+00,9.39509299260105E+00,9.43288201926584E+00,1.11846426034462E+01,1.01128548148325E+01,8.10901904573408E+00,8.10453334780462E+00,6.9082772650323E+00,6.1387857202679E+00,8.19554517680945E+00,8.22451395182862E+00,8.54073612427102E+00,9.26431402001778E+00,4.67455259916831E+00,7.36800687502529E+00,5.92613791762822E+00,5.38987746551184E+00,8.2600984779977E+00,8.16173646173099E+00,1.59932198173155E+01,8.11597447271626E+00,8.40964189574152E+00,7.95395870738142E+00,1.40293852197801E+01,7.9256791772553E+00,7.0764081521402E+00,8.1142133247981E+00,8.58872061574286E+00,6.4725907997063E+00,1.33584881858054E+01,1.9437380042489E+01,5.18578737048036E+00,9.31668602145723E+00,9.4439703237177E+00,8.83343428443862E+00,9.55200147564539E+00,7.91110256591357E+00
ar2,9.58434698030337E+00,8.75409006379571E+00,1.00867298671135E+01,7.91256374955447E+00,6.57259771330735E+00,8.62061671935981E+00,1.39563168725818E+01,1.01813977384095E+01,7.64069086625661E+00,9.38368313662437E+00,6.9915082844615E+00,7.80660049266541E+00,8.77999637331308E+00,8.55281805760175E+00,5.58157471663481E+00,1.0947699017946E+01,1.06186430159374E+01,1.1005173800938E+01,8.21664801254805E+00,7.55360046962945E+00,1.41744372996521E+01,1.35366842764649E+01,1.0518624258721E+01,8.49892031198821E+00,9.71791622767838E+00,1.05466984923966E+01,3.84127680553863E+01,1.99860372646785E+01,4.67570122380399E+01,2.2745005277918E+01,3.01262312183968E+01,1.41838024921097E+01,1.10246424020249E+01,9.87439407768574E+00,9.77915384728726E+00,9.96968013462581E+00,1.022032026569E+01,1.11084734314887E+01,1.0414773921123E+01,1.05928255551956E+01,9.13535450426814E+00,8.32768761971345E+00,6.52375083951699E+00,5.86946877139969E+00,8.41455726565787E+00,9.02491120138792E+00,9.52868653613745E+00,8.68328573279718E+00,4.40291529912519E+00,7.6928399280047E+00,6.42691911683234E+00,5.57788585240372E+00,9.09427677721787E+00,9.52550889101818E+00,1.57072497047754E+01,6.9308402265219E+00,9.4338645714344E+00,8.84324836172609E+00,1.41616725888918E+01,7.66589504961961E+00,6.82163155259801E+00,8.3938633114883E+00,8.41988382542467E+00,6.18374755491215E+00,1.3404908554293E+01,1.95160804821309E+01,5.38301820805019E+00,9.68002269039787E+00,9.21343269177565E+00,9.43004876118866E+00,9.5039399197237E+00,6.86296159331773E+00
approx_varma,9.50679079059745E+00,8.82879738874348E+00,8.42764539412175E+00,9.42086038334661E+00,7.8413049617812E+00,8.26016167223754E+00,1.29523391016963E+01,1.02847327966537E+01,8.29325429777971E+00,9.2747152760575E+00,8.52265005483915E+00,8.41011991951507E+00,8.5907281678845E+00,8.16716788845231E+00,6.46306222866111E+00,9.08294511720571E+00,9.50913254860771E+00,9.37793622142612E+00,7.87839529465106E+00,7.25831305600492E+00,1.13770426704922E+01,1.24842099847612E+01,8.4208503414624E+00,8.10242225445475E+00,9.91250890028394E+00,1.29253799214766E+01,1.3586125845402E+01,1.33804625299026E+01,3.92051007374674E+01,2.36502122007928E+01,2.12537262250618E+01,1.37896140579199E+01,1.25631368326501E+01,1.05332654694322E+01,1.5862509925769E+01,9.39353239308923E+00,9.9039454295114E+00,1.08633583345268E+01,1.09744109612087E+01,1.07818717918454E+01,8.95910131068141E+00,8.1666336385287E+00,6.67741114422897E+00,6.36249612234075E+00,7.99309697142265E+00,9.49567082470237E+00,8.73544448378307E+00,9.36294837383027E+00,5.5530049389039E+00,7.6832830842871E+00,6.42634346281118E+00,5.67757317495649E+00,8.29160629527173E+00,8.82251072443278E+00,1.32135470312846E+01,8.02056822074012E+00,7.73360319054221E+00,8.38845978301329E+00,1.22749571096458E+01,7.25164401603767E+00,6.82785392369215E+00,7.16094231305983E+00,8.33169465729595E+00,6.53807098768524E+00,1.48191042433796E+01,1.54678186438811E+01,5.25093188725979E+00,7.41997668049879E+00,9.09817453851636E+00,8.8314726521388E+00,8.73278952752088E+00,7.71919458381998E+00
rw,1.16765065918741E+01,1.31225735048947E+01,1.0605688032737E+01,1.14443608112153E+01,1.12927582353875E+01,9.93117472826306E+00,1.70213585829497E+01,1.86722754014093E+01,1.36577845136318E+01,1.15169147701708E+01,1.283427686187E+01,9.89974218073577E+00,1.20879250934429E+01,1.30364772230088E+01,1.09718897001721E+01,8.10444936435743E+00,1.42862454807642E+01,1.39571504328355E+01,1.33510527903929E+01,1.0704631055848E+01,1.21468894878946E+01,2.06853532587995E+01,1.50504379072417E+01,1.11541792062773E+01,1.25871939872842E+01,1.28041067797123E+01,1.82417995647119E+01,2.11735719897418E+01,3.70885599833112E+01,5.22475278097509E+01,2.48867829336548E+01,1.958933266578E+01,1.37611276888041E+01,1.62903730147795E+01,1.68302632403685E+01,1.78364183488502E+01,1.15183782513345E+01,1.01729751448594E+01,1.59682581938365E+01,1.33277376420412E+01,1.259837187159E+01,1.33072745178052E+01,1.14868156137648E+01,8.98006507292105E+00,1.01022013407971E+01,1.44973508019128E+01,1.14702863222351E+01,1.33365050684728E+01,9.88198320259978E+00,8.95919717944414E+00,1.10584554729572E+01,6.69839572656393E+00,7.77017703459915E+00,6.6726213727494E+00,1.85133367837881E+01,1.80533359549438E+01,9.94563007238863E+00,9.69910341187282E+00,1.63461956604508E+01,1.54493405295405E+01,1.11882884603829E+01,9.52766603069378E+00,1.26189465160838E+01,1.14363414610928E+01,1.47035280472329E+01,2.80762097326959E+01,1.62408501660005E+01,8.75041732560928E+00,1.34396883377148E+01,1.46597934098452E+01,1.2779681405815E+01,1.25383232609573E+01
bvar,1.16581866913203E+01,1.11646613190385E+01,1.13856481025527E+01,9.75612166103916E+00,1.05630055877157E+01,1.1405707517053E+01,9.56244165293016E+00,9.84825293089988E+00,1.26114845024024E+01,9.70391684646472E+00,8.18932444676654E+00,9.71563444918978E+00,9.4802053276568E+00,7.1043376634927E+00,9.68719363102431E+00,8.57584275458836E+00,1.31658322586609E+01,8.64830286408279E+00,6.88929148006753E+00,1.10524821868724E+01,1.07886264989432E+01,1.11097831769554E+01,7.72269518657285E+00,9.78990664030959E+00,1.31744099025922E+01,1.55647035469096E+01,2.1656932399123E+01,4.20033083551768E+01,2.60258493842011E+01,2.20168803539402E+01,1.57259445035892E+01,1.87686216669582E+01,1.27010911716462E+01,1.59820378116063E+01,1.16671888005515E+01,9.21737896729548E+00,1.20261927630844E+01,1.03976040478753E+01,1.28980810294179E+01,1.01045675615485E+01,9.00199475285539E+00,7.3697274793826E+00,6.46285982391917E+00,9.21366505586329E+00,9.03518960721878E+00,9.63168198290435E+00,9.57447046120201E+00,7.56065593191029E+00,9.30402082784971E+00,7.8921289676414E+00,4.94554829603972E+00,7.50253596380544E+00,8.83502970052648E+00,1.31994187168252E+01,7.24282382342588E+00,8.0126162917327E+00,9.17923115399193E+00,1.42031637874267E+01,7.99905591349617E+00,8.15570526009232E+00,8.88977024673226E+00,8.87855808731523E+00,7.06712318298671E+00,1.42466020166386E+01,1.60916941844994E+01,1.20850496744217E+01,9.91946761499411E+00,8.35099220630122E+00,9.18086181358748E+00,8.67458916358323E+00,9.55821378399362E+00,7.50134360267286E+00
mlr,8.6211763819994E+00,8.90439502824052E+00,9.65316071291754E+00,1.03453371472887E+01,7.85195035062926E+00,8.32896964325738E+00,1.37231067992841E+01,1.2569825988542E+01,1.05912064487902E+01,9.83877065950628E+00,8.63014249613424E+00,8.42392692716003E+00,9.66320160204086E+00,1.01032564874294E+01,6.46685399208368E+00,9.9988285674884E+00,1.14516662298422E+01,1.00383117764512E+01,6.86799128699145E+00,7.31691397817682E+00,1.44153782668628E+01,1.39754436421063E+01,8.93092939428004E+00,8.03484098712947E+00,9.82988631285598E+00,1.63194836902587E+01,1.52722122066839E+01,1.80827663395332E+01,2.22659393114871E+01,3.84234925839082E+01,1.94120290228431E+01,1.4982347944633E+01,1.36984796977668E+01,1.88961648711081E+01,1.59974668084362E+01,9.46269777776092E+00,1.54857033453965E+01,1.67249305311928E+01,1.1289715324341E+01,1.29630281299946E+01,8.71588804894033E+00,1.01253819508493E+01,6.29499783358996E+00,7.89902679846038E+00,7.99595819369281E+00,1.01397174133533E+01,8.41929607571541E+00,1.08770064837789E+01,5.79527615765454E+00,7.67038356446774E+00,6.48105297319363E+00,6.21110406469866E+00,1.05975652138708E+01,8.53536339524072E+00,2.17746556888598E+01,7.68235073674909E+00,7.49445223501395E+00,9.91485739620186E+00,1.77142033626565E+01,7.78312322587409E+00,8.98962676470348E+00,8.1987700120297E+00,1.10338499516811E+01,7.65455447505604E+00,1.45288539267062E+01,1.7553141069511E+01,5.37351268672651E+00,7.93931023559044E+00,1.01928618368614E+01,9.68609378399278E+00,9.52703505974204E+00,8.49694931518594E+00
shorr,8.73777315904354E+00,8.79044525973064E+00,8.64137291351391E+00,1.01620444986169E+01,7.61894559185644E+00,8.17296458737851E+00,1.29319349987153E+01,1.0598896241458E+01,1.02340584359839E+01,9.43027299335957E+00,8.53957223987593E+00,8.41517202364692E+00,9.59831184055498E+00,8.83131716399348E+00,6.54544604643099E+00,9.09536288774212E+00,1.05926558355477E+01,9.41936892511472E+00,7.6083691692554E+00,7.40440455903332E+00,1.25477072425467E+01,1.29243982481115E+01,8.41517122292659E+00,8.3245272761617E+00,1.02796843996065E+01,1.38450240792181E+01,2.06676766073932E+01,1.43600727026799E+01,2.7415144593296E+01,3.81767735026576E+01,1.81369198746849E+01,1.68180156972717E+01,1.35018656246788E+01,1.46255103057228E+01,1.67063020575497E+01,9.4157754817398E+00,1.52460210368553E+01,1.32538676858502E+01,1.11072407306644E+01,1.48921506679793E+01,8.99021868475398E+00,8.56899760234603E+00,6.57637444795517E+00,7.58092548005003E+00,7.90156798384149E+00,1.052040906887E+01,8.70129092707271E+00,9.52138976193709E+00,5.67011065977812E+00,7.83769925173382E+00,6.49414443781346E+00,5.77749120786254E+00,9.66725191704639E+00,9.47400357695775E+00,1.94677305211095E+01,7.83012126144009E+00,7.56741743716052E+00,9.02666969360223E+00,1.69230670614295E+01,7.18924241817873E+00,8.02431960078415E+00,7.41605728207947E+00,1.12057030139077E+01,6.91920966374976E+00,1.46590686954968E+01,1.71182442235784E+01,5.47456653620696E+00,7.54135346641337E+00,9.30518456886282E+00,9.92568458171369E+00,9.93477649617855E+00,9.02106035560415E+00